Start,End,Strand,Gene_ID,Gene_Name
188931,190439,-,Rv0160c,PE4
190440,190606,+,upstream_Rv0161,upstream_Rv0161
190607,191956,+,Rv0161,Rv0161
191957,191983,-,upstream_Rv0162c,upstream_adhE1
191984,193135,-,Rv0162c,adhE1
193117,193572,+,Rv0163,Rv0163
193573,193625,+,upstream_Rv0164,upstream_TB18.5
193626,194111,+,Rv0164,TB18.5
194112,194143,-,upstream_Rv0165c,upstream_mce1R
194144,194815,-,Rv0165c,mce1R
194816,194992,+,upstream_Rv0166,upstream_fadD5
194993,196657,+,Rv0166,fadD5
196658,196860,+,upstream_Rv0167,upstream_yrbE1A
196861,197658,+,Rv0167,yrbE1A
197659,197659,+,upstream_Rv0168,upstream_yrbE1B
197660,198529,+,Rv0168,yrbE1B
198530,198533,+,upstream_Rv0169,upstream_mce1A
198534,199898,+,Rv0169,mce1A
199895,200935,+,Rv0170,mce1B
200932,202479,+,Rv0171,mce1C
202476,204068,+,Rv0172,mce1D
204065,205237,+,Rv0173,lprK
205231,206778,+,Rv0174,mce1F
206779,206813,+,upstream_Rv0175,upstream_Rv0175
206814,207455,+,Rv0175,Rv0175
207452,208420,+,Rv0176,Rv0176
208417,208971,+,Rv0177,Rv0177
208938,209672,+,Rv0178,Rv0178
209673,209702,-,upstream_Rv0179c,upstream_lprO
209703,210812,-,Rv0179c,lprO
210813,210891,-,upstream_Rv0180c,upstream_Rv0180c
210892,212250,-,Rv0180c,Rv0180c
212251,212276,-,upstream_Rv0181c,upstream_Rv0181c
212277,213011,-,Rv0181c,Rv0181c
213012,213027,-,upstream_Rv0182c,upstream_sigG
213028,214140,-,Rv0182c,sigG
214088,214927,+,Rv0183,Rv0183
214928,214968,+,upstream_Rv0184,upstream_Rv0184
214969,215718,+,Rv0184,Rv0184
215715,216224,+,Rv0185,Rv0185
216225,216268,+,upstream_Rv0186,upstream_bglS
216269,218344,+,Rv0186,bglS
218345,218389,-,upstream_Rv0186A,upstream_mymT
218390,218551,-,Rv0186A,mymT
218552,218704,+,upstream_Rv0187,upstream_Rv0187
218705,219367,+,Rv0187,Rv0187
219368,219485,+,upstream_Rv0188,upstream_Rv0188
219486,219917,+,Rv0188,Rv0188
219918,219995,-,upstream_Rv0189c,upstream_ilvD
219996,221723,-,Rv0189c,ilvD
221724,221870,+,upstream_Rv0190,upstream_Rv0190
221871,222161,+,Rv0190,Rv0190
222162,222288,+,upstream_Rv0191,upstream_Rv0191
222289,223530,+,Rv0191,Rv0191
223531,223563,+,upstream_Rv0192,upstream_Rv0192
223564,224664,+,Rv0192,Rv0192
224665,224723,-,upstream_Rv0193c,upstream_Rv0193c
224724,226571,-,Rv0193c,Rv0193c
226572,226877,+,upstream_Rv0194,upstream_Rv0194
226878,230462,+,Rv0194,Rv0194
230463,230898,+,upstream_Rv0195,upstream_Rv0195
230899,231534,+,Rv0195,Rv0195
231535,231646,+,upstream_Rv0196,upstream_Rv0196
231647,232231,+,Rv0196,Rv0196
232231,234519,+,Rv0197,Rv0197
232232,232230,+,upstream_Rv0197,upstream_Rv0197
234516,236507,-,Rv0198c,zmp1
236508,236549,+,upstream_Rv0199,upstream_Rv0199
236550,237209,+,Rv0199,Rv0199
237206,237895,+,Rv0200,Rv0200
237892,238395,-,Rv0201c,Rv0201c
238392,241292,-,Rv0202c,mmpL11
241293,241513,+,upstream_Rv0203,upstream_Rv0203
241514,241924,+,Rv0203,Rv0203
241925,241975,-,upstream_Rv0204c,upstream_Rv0204c
241976,243214,-,Rv0204c,Rv0204c
243215,243383,+,upstream_Rv0205,upstream_Rv0205
243384,244487,+,Rv0205,Rv0205
244484,247318,-,Rv0206c,mmpL3
247319,247383,-,upstream_Rv0207c,upstream_Rv0207c
247384,248112,-,Rv0207c,Rv0207c
248113,248114,-,upstream_Rv0208c,upstream_Rv0208c
248115,248906,-,Rv0208c,Rv0208c
248907,249037,+,upstream_Rv0209,upstream_Rv0209
249038,250123,+,Rv0209,Rv0209
250120,251598,+,Rv0210,Rv0210
251599,251781,+,upstream_Rv0211,upstream_pckA
251782,253602,+,Rv0211,pckA
253603,253668,-,upstream_Rv0212c,upstream_nadR
253669,254640,-,Rv0212c,nadR
254637,255950,-,Rv0213c,Rv0213c
255951,256063,+,upstream_Rv0214,upstream_fadD4
256064,257677,+,Rv0214,fadD4
257678,258912,+,upstream_Rv0216,upstream_Rv0216
258913,259926,+,Rv0216,Rv0216
259923,260831,-,Rv0217c,lipW
260832,260923,+,upstream_Rv0218,upstream_Rv0218
260924,262252,+,Rv0218,Rv0218
262253,262253,+,upstream_Rv0219,upstream_Rv0219
262254,262802,+,Rv0219,Rv0219
262803,262811,+,upstream_Rv0220,upstream_lipC
262812,264023,+,Rv0220,lipC
264024,264066,+,upstream_Rv0221,upstream_Rv0221
264067,265476,+,Rv0221,Rv0221
265477,265506,+,upstream_Rv0222,upstream_echA1
265507,266295,+,Rv0222,echA1
266296,266300,-,upstream_Rv0223c,upstream_Rv0223c
266301,267764,-,Rv0223c,Rv0223c
267765,267862,-,upstream_Rv0224c,upstream_Rv0224c
267863,268627,-,Rv0224c,Rv0224c
268628,268662,+,upstream_Rv0225,upstream_Rv0225
268663,269817,+,Rv0225,Rv0225
269818,269833,-,upstream_Rv0226c,upstream_Rv0226c
269834,271564,-,Rv0226c,Rv0226c
271565,271573,-,upstream_Rv0227c,upstream_Rv0227c
271574,272839,-,Rv0227c,Rv0227c
272840,273054,+,upstream_Rv0228,upstream_Rv0228
273055,274278,+,Rv0228,Rv0228
274279,274305,-,upstream_Rv0229c,upstream_Rv0229c
274306,274986,-,Rv0229c,Rv0229c
274983,275963,-,Rv0230c,php
275964,276057,+,upstream_Rv0231,upstream_fadE4
276058,277764,+,Rv0231,fadE4
277765,277898,+,upstream_Rv0232,upstream_Rv0232
277899,278588,+,Rv0232,Rv0232
278585,279529,+,Rv0233,nrdB
279530,279604,-,upstream_Rv0234c,upstream_gabD1
279605,281140,-,Rv0234c,gabD1
281141,281165,-,upstream_Rv0235c,upstream_Rv0235c
281166,282614,-,Rv0235c,Rv0235c
282615,282648,-,upstream_Rv0236c,upstream_aftD
282649,286851,-,Rv0236c,aftD
286852,286897,-,upstream_Rv0236A,upstream_Rv0236A
286898,287071,-,Rv0236A,Rv0236A
287072,287185,+,upstream_Rv0237,upstream_lpqI
287186,288352,+,Rv0237,lpqI
288353,288427,+,upstream_Rv0238,upstream_Rv0238
288428,289042,+,Rv0238,Rv0238
289043,289103,+,upstream_Rv0239,upstream_vapB24
289104,289337,+,Rv0239,vapB24
289338,289344,+,upstream_Rv0240,upstream_vapC24
289345,289782,+,Rv0240,vapC24
289783,289811,-,upstream_Rv0241c,upstream_htdX
289812,290654,-,Rv0241c,htdX
290655,290664,-,upstream_Rv0242c,upstream_fabG4
290665,292029,-,Rv0242c,fabG4
292030,292170,+,upstream_Rv0243,upstream_fadA2
292171,293493,+,Rv0243,fadA2
293494,293603,+,upstream_RVnc0008,upstream_F6
293604,293705,+,RVnc0008,F6
293706,293797,-,upstream_Rv0244c,upstream_fadE5
293798,295633,-,Rv0244c,fadE5
295634,296004,+,upstream_Rv0245,upstream_Rv0245
296005,296493,+,Rv0245,Rv0245
296494,296808,+,upstream_Rv0246,upstream_Rv0246
296809,298119,+,Rv0246,Rv0246
298116,298862,-,Rv0247c,Rv0247c
298863,300803,-,Rv0248c,Rv0248c
298863,298862,-,upstream_Rv0248c,upstream_Rv0248c
300804,300833,-,upstream_Rv0249c,upstream_Rv0249c
300834,301655,-,Rv0249c,Rv0249c
301656,301734,-,upstream_Rv0250c,upstream_Rv0250c
301735,302028,-,Rv0250c,Rv0250c
302029,302172,-,upstream_Rv0251c,upstream_hsp
302173,302652,-,Rv0251c,hsp
302653,302865,+,upstream_Rv0252,upstream_nirB
302866,305427,+,Rv0252,nirB
305428,305452,+,upstream_Rv0253,upstream_nirD
305453,305809,+,Rv0253,nirD
305810,305824,-,upstream_Rv0254c,upstream_cobU
305825,306349,-,Rv0254c,cobU
306350,306373,-,upstream_Rv0255c,upstream_cobQ1
306374,307858,-,Rv0255c,cobQ1
307859,307876,-,upstream_Rv0256c,upstream_PPE2
307877,309547,-,Rv0256c,PPE2
309548,309698,+,upstream_Rv0257,upstream_Rv0257
309699,310073,+,Rv0257,Rv0257
310074,310293,-,upstream_Rv0258c,upstream_Rv0258c
310294,310749,-,Rv0258c,Rv0258c
310750,310773,-,upstream_Rv0259c,upstream_Rv0259c
310774,311517,-,Rv0259c,Rv0259c
311514,312659,-,Rv0260c,Rv0260c
312660,312758,-,upstream_Rv0261c,upstream_narK3
312759,314168,-,Rv0261c,narK3
314169,314308,-,upstream_Rv0262c,upstream_aac
314309,314854,-,Rv0262c,aac
314855,314863,-,upstream_Rv0263c,upstream_Rv0263c
314864,315766,-,Rv0263c,Rv0263c
315767,315782,-,upstream_Rv0264c,upstream_Rv0264c
315783,316415,-,Rv0264c,Rv0264c
316416,316510,-,upstream_Rv0265c,upstream_Rv0265c
316511,317503,-,Rv0265c,Rv0265c
317504,317524,-,upstream_Rv0266c,upstream_oplA
317525,321154,-,Rv0266c,oplA
321155,321330,+,upstream_Rv0267,upstream_narU
321331,322722,+,Rv0267,narU
322723,322763,-,upstream_Rv0268c,upstream_Rv0268c
322764,323273,-,Rv0268c,Rv0268c
323274,323337,-,upstream_Rv0269c,upstream_Rv0269c
323338,324531,-,Rv0269c,Rv0269c
324532,324566,+,upstream_Rv0270,upstream_fadD2
324567,326249,+,Rv0270,fadD2
326250,326265,-,upstream_Rv0271c,upstream_fadE6
326266,328461,-,Rv0271c,fadE6
328462,328574,-,upstream_Rv0272c,upstream_Rv0272c
328575,329708,-,Rv0272c,Rv0272c
329705,330325,-,Rv0273c,Rv0273c
330326,330421,+,upstream_Rv0274,upstream_Rv0274
330422,331003,+,Rv0274,Rv0274
330933,331658,-,Rv0275c,Rv0275c
331659,331747,+,upstream_Rv0276,upstream_Rv0276
331748,332668,+,Rv0276,Rv0276
332669,332707,-,upstream_Rv0277c,upstream_vapC25
332708,333136,-,Rv0277c,vapC25
333137,333436,-,upstream_Rv0278c,upstream_Rv0278c
333437,336310,-,Rv0278c,Rv0278c
336311,336559,-,upstream_Rv0279c,upstream_PE_PGRS4
336560,339073,-,Rv0279c,PE_PGRS4
339074,339363,+,upstream_Rv0280,upstream_PPE3
339364,340974,+,Rv0280,PPE3
340975,340997,+,upstream_Rv0281,upstream_Rv0281
340998,341906,+,Rv0281,Rv0281
341907,342129,+,upstream_Rv0282,upstream_eccA3
342130,344025,+,Rv0282,eccA3
344022,345638,+,Rv0283,eccB3
345635,349627,+,Rv0284,eccC3
349624,349932,+,Rv0285,PE5
349933,349934,+,upstream_Rv0286,upstream_PPE4
349935,351476,+,Rv0286,PPE4
351477,351524,+,upstream_Rv0287,upstream_esxG
351525,351818,+,Rv0287,esxG
351819,351847,+,upstream_Rv0288,upstream_esxH
351848,352138,+,Rv0288,esxH
352139,352148,+,upstream_Rv0289,upstream_espG3
352149,353036,+,Rv0289,espG3
353037,353082,+,upstream_Rv0290,upstream_eccD3
353083,354501,+,Rv0290,eccD3
354498,355883,+,Rv0291,mycP3
355880,356875,+,Rv0292,eccE3
356862,358064,-,Rv0293c,Rv0293c
358065,358170,+,upstream_Rv0294,upstream_tam
358171,358956,+,Rv0294,tam
358945,359748,-,Rv0295c,Rv0295c
359749,359757,-,upstream_Rv0296c,upstream_Rv0296c
359758,361155,-,Rv0296c,Rv0296c
361156,361333,+,upstream_Rv0297,upstream_PE_PGRS5
361334,363109,+,Rv0297,PE_PGRS5
363110,363251,+,upstream_Rv0298,upstream_Rv0298
363252,363479,+,Rv0298,Rv0298
363476,363778,+,Rv0299,Rv0299
363779,363825,+,upstream_Rv0300,upstream_vapB2
363826,364047,+,Rv0300,vapB2
364044,364469,+,Rv0301,vapC2
364470,364604,+,upstream_Rv0302,upstream_Rv0302
364605,365237,+,Rv0302,Rv0302
365234,366142,+,Rv0303,Rv0303
366143,366149,-,upstream_Rv0304c,upstream_PPE5
366150,372764,-,Rv0304c,PPE5
372765,372819,-,upstream_Rv0305c,upstream_PPE6
372820,375711,-,Rv0305c,PPE6
375712,375913,+,upstream_Rv0306,upstream_Rv0306
375914,376585,+,Rv0306,Rv0306
376573,377055,-,Rv0307c,Rv0307c
377056,377112,+,upstream_Rv0308,upstream_Rv0308
377113,377829,+,Rv0308,Rv0308
377830,377930,+,upstream_Rv0309,upstream_Rv0309
377931,378587,+,Rv0309,Rv0309
378588,378656,-,upstream_Rv0310c,upstream_Rv0310c
378657,379148,-,Rv0310c,Rv0310c
379149,379171,+,upstream_Rv0311,upstream_Rv0311
379172,380401,+,Rv0311,Rv0311
380402,380555,+,upstream_Rv0312,upstream_Rv0312
380556,382418,+,Rv0312,Rv0312
382419,382489,+,upstream_Rv0313,upstream_Rv0313
382490,382876,+,Rv0313,Rv0313
382877,382878,-,upstream_Rv0314c,upstream_Rv0314c
382879,383541,-,Rv0314c,Rv0314c
383542,383601,+,upstream_Rv0315,upstream_Rv0315
383602,384486,+,Rv0315,Rv0315
384487,384534,+,upstream_Rv0316,upstream_Rv0316
384535,385149,+,Rv0316,Rv0316
385150,385172,-,upstream_Rv0317c,upstream_glpQ2
385173,385943,-,Rv0317c,glpQ2
385944,386203,-,upstream_Rvnt04,upstream_glyU
